fast 0 {'step': 1, 'loss': 0.6891289949417114, 'bit_accuracy': 0.5390625, 'exact_accuracy': 0.0, 'gradient_norm': 0.1678730994462967}
fast 0 {'step': 100, 'loss': 0.4228554368019104, 'bit_accuracy': 0.828125, 'exact_accuracy': 0.234375, 'gradient_norm': 0.1636393517255783}
fast 0 {'step': 200, 'loss': 0.2681046426296234, 'bit_accuracy': 0.8828125, 'exact_accuracy': 0.390625, 'gradient_norm': 0.1609269380569458}
fast 0 {'step': 300, 'loss': 0.14103083312511444, 'bit_accuracy': 0.955078125, 'exact_accuracy': 0.734375, 'gradient_norm': 0.15932689607143402}
fast 0 {'step': 400, 'loss': 0.21286527812480927, 'bit_accuracy': 0.916015625, 'exact_accuracy': 0.609375, 'gradient_norm': 0.21271950006484985}
fast 0 {'step': 500, 'loss': 0.17231310904026031, 'bit_accuracy': 0.927734375, 'exact_accuracy': 0.5625, 'gradient_norm': 0.16206537187099457}
fast 0 {'step': 600, 'loss': 0.1390293389558792, 'bit_accuracy': 0.939453125, 'exact_accuracy': 0.671875, 'gradient_norm': 0.17551611363887787}
fast 1 {'step': 1, 'loss': 0.6969165205955505, 'bit_accuracy': 0.50390625, 'exact_accuracy': 0.0, 'gradient_norm': 0.16337653994560242}
fast 1 {'step': 100, 'loss': 0.4266864061355591, 'bit_accuracy': 0.830078125, 'exact_accuracy': 0.25, 'gradient_norm': 0.16670851409435272}
fast 1 {'step': 200, 'loss': 0.2495163530111313, 'bit_accuracy': 0.896484375, 'exact_accuracy': 0.421875, 'gradient_norm': 0.14671309292316437}
fast 1 {'step': 300, 'loss': 0.13133540749549866, 'bit_accuracy': 0.94921875, 'exact_accuracy': 0.703125, 'gradient_norm': 0.1321023404598236}
fast 1 {'step': 400, 'loss': 0.18219809234142303, 'bit_accuracy': 0.935546875, 'exact_accuracy': 0.609375, 'gradient_norm': 0.16789180040359497}
fast 1 {'step': 500, 'loss': 0.14701667428016663, 'bit_accuracy': 0.935546875, 'exact_accuracy': 0.640625, 'gradient_norm': 0.15438048541545868}
fast 1 {'step': 600, 'loss': 0.1665332317352295, 'bit_accuracy': 0.931640625, 'exact_accuracy': 0.609375, 'gradient_norm': 0.1418515145778656}
fast 2 {'step': 1, 'loss': 0.7070695757865906, 'bit_accuracy': 0.5390625, 'exact_accuracy': 0.0, 'gradient_norm': 0.15419776737689972}
fast 2 {'step': 100, 'loss': 0.43504899740219116, 'bit_accuracy': 0.822265625, 'exact_accuracy': 0.21875, 'gradient_norm': 0.15473036468029022}
fast 2 {'step': 200, 'loss': 0.23934271931648254, 'bit_accuracy': 0.912109375, 'exact_accuracy': 0.546875, 'gradient_norm': 0.14866535365581512}
fast 2 {'step': 300, 'loss': 0.15902283787727356, 'bit_accuracy': 0.9296875, 'exact_accuracy': 0.609375, 'gradient_norm': 0.14159196615219116}
fast 2 {'step': 400, 'loss': 0.23797190189361572, 'bit_accuracy': 0.91015625, 'exact_accuracy': 0.453125, 'gradient_norm': 0.19957463443279266}
fast 2 {'step': 500, 'loss': 0.17597848176956177, 'bit_accuracy': 0.923828125, 'exact_accuracy': 0.515625, 'gradient_norm': 0.14722515642642975}
fast 2 {'step': 600, 'loss': 0.16324545443058014, 'bit_accuracy': 0.931640625, 'exact_accuracy': 0.609375, 'gradient_norm': 0.16454993188381195}
