fast 0 {'step': 1, 'loss': 0.6970479488372803, 'bit_accuracy': 0.5390625, 'exact_accuracy': 0.015625, 'gradient_norm': 0.15275652706623077}
fast 0 {'step': 100, 'loss': 0.368076890707016, 'bit_accuracy': 0.87109375, 'exact_accuracy': 0.28125, 'gradient_norm': 0.206995889544487}
fast 0 {'step': 200, 'loss': 0.11138877272605896, 'bit_accuracy': 0.96484375, 'exact_accuracy': 0.8125, 'gradient_norm': 0.13310866057872772}
fast 0 {'step': 300, 'loss': 0.009963230229914188, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.04084561765193939}
fast 0 {'step': 400, 'loss': 0.0035244696773588657, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.018184812739491463}
fast 0 {'step': 500, 'loss': 0.0015463558956980705, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.009706989862024784}
fast 0 {'step': 600, 'loss': 0.0008468398009426892, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.005907749757170677}
fast 1 {'step': 1, 'loss': 0.709623396396637, 'bit_accuracy': 0.4765625, 'exact_accuracy': 0.0, 'gradient_norm': 0.16157089173793793}
fast 1 {'step': 100, 'loss': 0.36598432064056396, 'bit_accuracy': 0.90234375, 'exact_accuracy': 0.5, 'gradient_norm': 0.21166779100894928}
fast 1 {'step': 200, 'loss': 0.07687096297740936, 'bit_accuracy': 0.98828125, 'exact_accuracy': 0.921875, 'gradient_norm': 0.14190663397312164}
fast 1 {'step': 300, 'loss': 0.00988615583628416, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.04161499813199043}
fast 1 {'step': 400, 'loss': 0.0026616717223078012, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.015510572120547295}
fast 1 {'step': 500, 'loss': 0.0015556192956864834, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.00975029356777668}
fast 1 {'step': 600, 'loss': 0.0009048737119883299, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.006270549725741148}
fast 2 {'step': 1, 'loss': 0.741870641708374, 'bit_accuracy': 0.41796875, 'exact_accuracy': 0.0, 'gradient_norm': 0.1852053701877594}
fast 2 {'step': 100, 'loss': 0.41942298412323, 'bit_accuracy': 0.84765625, 'exact_accuracy': 0.28125, 'gradient_norm': 0.18946285545825958}
fast 2 {'step': 200, 'loss': 0.15830440819263458, 'bit_accuracy': 0.951171875, 'exact_accuracy': 0.671875, 'gradient_norm': 0.1424272358417511}
fast 2 {'step': 300, 'loss': 0.035372450947761536, 'bit_accuracy': 0.99609375, 'exact_accuracy': 0.96875, 'gradient_norm': 0.09111566841602325}
fast 2 {'step': 400, 'loss': 0.005756498780101538, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.028167184442281723}
fast 2 {'step': 500, 'loss': 0.00205600424669683, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.012141064740717411}
fast 2 {'step': 600, 'loss': 0.0009817623067647219, 'bit_accuracy': 1.0, 'exact_accuracy': 1.0, 'gradient_norm': 0.0067336661741137505}
frozen_keys 0 {'step': 1, 'loss': 0.6970479488372803, 'bit_accuracy': 0.5390625, 'exact_accuracy': 0.015625, 'gradient_norm': 0.15258315205574036}
frozen_keys 0 {'step': 100, 'loss': 0.3998212218284607, 'bit_accuracy': 0.828125, 'exact_accuracy': 0.1875, 'gradient_norm': 0.18820396065711975}
frozen_keys 0 {'step': 200, 'loss': 0.29385846853256226, 'bit_accuracy': 0.861328125, 'exact_accuracy': 0.328125, 'gradient_norm': 0.1232086643576622}
frozen_keys 0 {'step': 300, 'loss': 0.1606159210205078, 'bit_accuracy': 0.939453125, 'exact_accuracy': 0.625, 'gradient_norm': 0.10859934240579605}
frozen_keys 0 {'step': 400, 'loss': 0.21375417709350586, 'bit_accuracy': 0.91796875, 'exact_accuracy': 0.5625, 'gradient_norm': 0.17638611793518066}
frozen_keys 0 {'step': 500, 'loss': 0.2188846617937088, 'bit_accuracy': 0.9296875, 'exact_accuracy': 0.5625, 'gradient_norm': 0.18701057136058807}
frozen_keys 0 {'step': 600, 'loss': 0.15993598103523254, 'bit_accuracy': 0.927734375, 'exact_accuracy': 0.609375, 'gradient_norm': 0.15433014929294586}
frozen_keys 1 {'step': 1, 'loss': 0.709623396396637, 'bit_accuracy': 0.4765625, 'exact_accuracy': 0.0, 'gradient_norm': 0.16147980093955994}
frozen_keys 1 {'step': 100, 'loss': 0.39145582914352417, 'bit_accuracy': 0.853515625, 'exact_accuracy': 0.21875, 'gradient_norm': 0.19103588163852692}
frozen_keys 1 {'step': 200, 'loss': 0.20847538113594055, 'bit_accuracy': 0.916015625, 'exact_accuracy': 0.53125, 'gradient_norm': 0.14381098747253418}
frozen_keys 1 {'step': 300, 'loss': 0.1155744269490242, 'bit_accuracy': 0.955078125, 'exact_accuracy': 0.703125, 'gradient_norm': 0.13373441994190216}
