gru 0 {'step': 1, 'loss': 0.6933539509773254, 'bit_accuracy': 0.498046875, 'exact_accuracy': 0.03125, 'gradient_norm': 0.016676105558872223}
gru 0 {'step': 100, 'loss': 0.6648189425468445, 'bit_accuracy': 0.583984375, 'exact_accuracy': 0.0, 'gradient_norm': 0.10163238644599915}
gru 0 {'step': 200, 'loss': 0.6789605617523193, 'bit_accuracy': 0.595703125, 'exact_accuracy': 0.015625, 'gradient_norm': 0.14366109669208527}
gru 0 {'step': 300, 'loss': 0.539824366569519, 'bit_accuracy': 0.7578125, 'exact_accuracy': 0.1875, 'gradient_norm': 0.21263213455677032}
gru 0 {'step': 400, 'loss': 0.7090712785720825, 'bit_accuracy': 0.578125, 'exact_accuracy': 0.03125, 'gradient_norm': 0.20872144401073456}
gru 0 {'step': 500, 'loss': 0.6433054208755493, 'bit_accuracy': 0.625, 'exact_accuracy': 0.0625, 'gradient_norm': 0.13149762153625488}
gru 0 {'step': 600, 'loss': 0.46697908639907837, 'bit_accuracy': 0.818359375, 'exact_accuracy': 0.390625, 'gradient_norm': 0.23525524139404297}
gru 0 {'step': 700, 'loss': 0.6995687484741211, 'bit_accuracy': 0.572265625, 'exact_accuracy': 0.03125, 'gradient_norm': 0.20588061213493347}
gru 0 {'step': 800, 'loss': 0.670376181602478, 'bit_accuracy': 0.61328125, 'exact_accuracy': 0.0625, 'gradient_norm': 0.1887570172548294}
gru 0 {'step': 900, 'loss': 0.3452009856700897, 'bit_accuracy': 0.8828125, 'exact_accuracy': 0.453125, 'gradient_norm': 0.29808297753334045}
gru 0 {'step': 1000, 'loss': 0.7485833764076233, 'bit_accuracy': 0.54296875, 'exact_accuracy': 0.03125, 'gradient_norm': 0.32129615545272827}
gru 0 {'step': 1100, 'loss': 0.710070013999939, 'bit_accuracy': 0.56640625, 'exact_accuracy': 0.03125, 'gradient_norm': 0.21347308158874512}
gru 0 {'step': 1200, 'loss': 0.2621144950389862, 'bit_accuracy': 0.92578125, 'exact_accuracy': 0.625, 'gradient_norm': 0.29564762115478516}
gru 0 {'step': 1300, 'loss': 0.7382296919822693, 'bit_accuracy': 0.546875, 'exact_accuracy': 0.015625, 'gradient_norm': 0.3020282983779907}
gru 0 {'step': 1400, 'loss': 0.6612545847892761, 'bit_accuracy': 0.61328125, 'exact_accuracy': 0.0625, 'gradient_norm': 0.24983660876750946}
gru 0 {'step': 1500, 'loss': 0.1501983106136322, 'bit_accuracy': 0.9765625, 'exact_accuracy': 0.875, 'gradient_norm': 0.2920263707637787}
gru 0 {'step': 1600, 'loss': 0.671716034412384, 'bit_accuracy': 0.60546875, 'exact_accuracy': 0.0, 'gradient_norm': 0.22941230237483978}
gru 0 {'step': 1700, 'loss': 0.6714493036270142, 'bit_accuracy': 0.619140625, 'exact_accuracy': 0.03125, 'gradient_norm': 0.2754681408405304}
gru 0 {'step': 1800, 'loss': 0.15716004371643066, 'bit_accuracy': 0.97265625, 'exact_accuracy': 0.859375, 'gradient_norm': 0.31244704127311707}
gru 0 {'step': 1900, 'loss': 0.7373349666595459, 'bit_accuracy': 0.609375, 'exact_accuracy': 0.03125, 'gradient_norm': 0.3345577120780945}
gru 0 {'step': 2000, 'loss': 0.6846343278884888, 'bit_accuracy': 0.61328125, 'exact_accuracy': 0.046875, 'gradient_norm': 0.3044807016849518}
gru 0 {'step': 2100, 'loss': 0.14041265845298767, 'bit_accuracy': 0.97265625, 'exact_accuracy': 0.859375, 'gradient_norm': 0.30574458837509155}
gru 0 {'step': 2200, 'loss': 0.6699624061584473, 'bit_accuracy': 0.583984375, 'exact_accuracy': 0.078125, 'gradient_norm': 0.272244393825531}
gru 0 {'step': 2300, 'loss': 0.6444033980369568, 'bit_accuracy': 0.64453125, 'exact_accuracy': 0.0625, 'gradient_norm': 0.2227650135755539}
gru 0 {'step': 2400, 'loss': 0.10905653238296509, 'bit_accuracy': 0.982421875, 'exact_accuracy': 0.921875, 'gradient_norm': 0.2459353506565094}
