frozen_keys 0 {'step': 1, 'loss': 0.6970479488372803, 'bit_accuracy': 0.5390625, 'exact_accuracy': 0.015625, 'gradient_norm': 0.15258315205574036}
frozen_keys 0 {'step': 100, 'loss': 0.3998212218284607, 'bit_accuracy': 0.828125, 'exact_accuracy': 0.1875, 'gradient_norm': 0.18820396065711975}
frozen_keys 0 {'step': 200, 'loss': 0.29385846853256226, 'bit_accuracy': 0.861328125, 'exact_accuracy': 0.328125, 'gradient_norm': 0.1232086643576622}
frozen_keys 0 {'step': 300, 'loss': 0.1606159210205078, 'bit_accuracy': 0.939453125, 'exact_accuracy': 0.625, 'gradient_norm': 0.10859934240579605}
frozen_keys 0 {'step': 400, 'loss': 0.21375417709350586, 'bit_accuracy': 0.91796875, 'exact_accuracy': 0.5625, 'gradient_norm': 0.17638611793518066}
frozen_keys 0 {'step': 500, 'loss': 0.2188846617937088, 'bit_accuracy': 0.9296875, 'exact_accuracy': 0.5625, 'gradient_norm': 0.18701057136058807}
frozen_keys 0 {'step': 600, 'loss': 0.15993598103523254, 'bit_accuracy': 0.927734375, 'exact_accuracy': 0.609375, 'gradient_norm': 0.15433014929294586}
frozen_keys 1 {'step': 1, 'loss': 0.709623396396637, 'bit_accuracy': 0.4765625, 'exact_accuracy': 0.0, 'gradient_norm': 0.16147980093955994}
frozen_keys 1 {'step': 100, 'loss': 0.39145582914352417, 'bit_accuracy': 0.853515625, 'exact_accuracy': 0.21875, 'gradient_norm': 0.19103588163852692}
frozen_keys 1 {'step': 200, 'loss': 0.20847538113594055, 'bit_accuracy': 0.916015625, 'exact_accuracy': 0.53125, 'gradient_norm': 0.14381098747253418}
frozen_keys 1 {'step': 300, 'loss': 0.1155744269490242, 'bit_accuracy': 0.955078125, 'exact_accuracy': 0.703125, 'gradient_norm': 0.13373441994190216}
frozen_keys 1 {'step': 400, 'loss': 0.14133335649967194, 'bit_accuracy': 0.962890625, 'exact_accuracy': 0.75, 'gradient_norm': 0.11558040231466293}
frozen_keys 1 {'step': 500, 'loss': 0.1825851947069168, 'bit_accuracy': 0.923828125, 'exact_accuracy': 0.53125, 'gradient_norm': 0.15945924818515778}
frozen_keys 1 {'step': 600, 'loss': 0.11066706478595734, 'bit_accuracy': 0.9609375, 'exact_accuracy': 0.78125, 'gradient_norm': 0.11724399775266647}
frozen_keys 2 {'step': 1, 'loss': 0.741870641708374, 'bit_accuracy': 0.41796875, 'exact_accuracy': 0.0, 'gradient_norm': 0.1849852204322815}
frozen_keys 2 {'step': 100, 'loss': 0.42804327607154846, 'bit_accuracy': 0.845703125, 'exact_accuracy': 0.28125, 'gradient_norm': 0.18123450875282288}
frozen_keys 2 {'step': 200, 'loss': 0.2714318633079529, 'bit_accuracy': 0.89453125, 'exact_accuracy': 0.359375, 'gradient_norm': 0.13260146975517273}
